10e6 *4  -> 1
10e6 *42 -> 10
10e6 *42*6 -> 60

40000000, 0, 0.955829
420000000, 0, 10.037894 
2520000000, 0, 60.188638

40000000, 1, 1.454306
40000000, 2, 0.729447
40000000, 3, 0.492212
40000000, 4, 0.363716
40000000, 5, 0.290793
40000000, 6, 0.249785
40000000, 7, 0.207735
40000000, 8, 0.181972
40000000, 9, 0.161560
40000000, 10, 0.145475
40000000, 11, 0.167552
40000000, 12, 0.122134

420000000, 1, 15.263969
420000000, 2, 7.636824
420000000, 3, 5.087660
420000000, 4, 3.932355
420000000, 5, 3.053239
420000000, 6, 2.545600
420000000, 7, 2.181743
420000000, 8, 1.908999
420000000, 9, 1.696820
420000000, 10, 1.527529
420000000, 11, 1.388489
420000000, 12, 1.303204

2520000000, 1, 91.624283
2520000000, 2, 45.807876
2520000000, 3, 30.564776
2520000000, 4, 22.906348
2520000000, 5, 18.325207
2520000000, 6, 15.269218
2520000000, 7, 13.087526
2520000000, 8, 11.454257
2520000000, 9, 10.179137
2520000000, 10, 9.160660
2520000000, 11, 8.405191
2520000000, 12, 7.648082
